#time;Action;Object;Port/Tmr;Value;requestTime;startTime;endTime;flightTime
0,000000;>MSG;Bob;Bob.mouth(OutPort);Hi Joe;0,000000;0,000000;1,000000;1,000000
1,000000;<MSG;Bob;Joe.ears(InPort);Hi Joe;0,000000;0,000000;1,000000;1,000000
1,000000;ANN;Joe;Joe(Part);got message Hi Joe
1,000000;T-START;Joe;Joe.think_tmr(Timer);2,000000
1,000000;STA;Joe;Joe(Part);Think
3,000000;T-EXP;Joe;Joe.think_tmr(Timer);
3,000000;STA;Joe;Joe(Part);
3,000000;>MSG;Joe;Joe.mouth(OutPort);Hi, How are you?;3,000000;3,000000;4,500000;1,500000
4,500000;<MSG;Joe;Bob.ears(InPort);Hi, How are you?;3,000000;3,000000;4,500000;1,500000
4,500000;T-START;Bob;Bob.think_tmr(Timer);1,400000
4,500000;STA;Bob;Bob(Part);Think
5,900000;T-EXP;Bob;Bob.think_tmr(Timer);
5,900000;STA;Bob;Bob(Part);
5,900000;>MSG;Bob;Bob.mouth(OutPort);How are you?;5,900000;5,900000;6,900000;1,000000
6,900000;<MSG;Bob;Joe.ears(InPort);How are you?;5,900000;5,900000;6,900000;1,000000
6,900000;ANN;Joe;Joe(Part);got message How are you?
6,900000;T-START;Joe;Joe.think_tmr(Timer);2,000000
6,900000;STA;Joe;Joe(Part);Think
8,900000;T-EXP;Joe;Joe.think_tmr(Timer);
8,900000;STA;Joe;Joe(Part);
8,900000;>MSG;Joe;Joe.mouth(OutPort);Fine;8,900000;8,900000;10,400000;1,500000
10,400000;<MSG;Joe;Bob.ears(InPort);Fine;8,900000;8,900000;10,400000;1,500000
10,400000;T-START;Bob;Bob.think_tmr(Timer);1,400000
10,400000;STA;Bob;Bob(Part);Think
11,800000;T-EXP;Bob;Bob.think_tmr(Timer);
11,800000;STA;Bob;Bob(Part);
11,800000;>MSG;Bob;Bob.mouth(OutPort);Hm?;11,800000;11,800000;12,800000;1,000000
