#time;Action;Object;Port/Tmr;Value;requestTime;startTime;endTime;flightTime
0,000000;VC;VC;VC.var1(WatchedVar);
0,000000;VC;VC;VC.var2(WatchedVar);
0,000000;T-STOP;VC;VC.VCScTmr(Timer);
0,000000;T-START;VC;VC.VCScTmr(Timer);2,000000
0,000000;STA;VC;VC(Part);
0,000000;VC;VC;VC.var1(WatchedVar);0x00000001
2,000000;T-EXP;VC;VC.VCScTmr(Timer);
2,000000;T-STOP;VC;VC.VCScTmr(Timer);
2,000000;T-START;VC;VC.VCScTmr(Timer);2,000000
2,000000;VC;VC;VC.var1(WatchedVar);0x00000002
2,000000;VC;VC;VC.var2(WatchedVar);ABC
4,000000;T-EXP;VC;VC.VCScTmr(Timer);
4,000000;T-STOP;VC;VC.VCScTmr(Timer);
4,000000;T-START;VC;VC.VCScTmr(Timer);2,000000
4,000000;STA;VC;VC(Part);WAIT
4,000000;VC;VC;VC.var2(WatchedVar);DEF
6,000000;T-EXP;VC;VC.VCScTmr(Timer);
6,000000;T-STOP;VC;VC.VCScTmr(Timer);
6,000000;T-START;VC;VC.VCScTmr(Timer);3,000000
6,000000;STA;VC;VC(Part);
6,000000;VC;VC;VC.var1(WatchedVar);0x00000003
9,000000;T-EXP;VC;VC.VCScTmr(Timer);
9,000000;T-STOP;VC;VC.VCScTmr(Timer);
9,000000;T-START;VC;VC.VCScTmr(Timer);2,000000
9,000000;VC;VC;VC.var1(WatchedVar);0x00000001
10,000000;T-STOP;VC;VC.VCScTmr(Timer);
